timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/05 14:38:29.122, 0, 0, 0, 148526, 183359, 156.75
2026/03/05 14:38:29.152, 0, 0, 0, 148526, 183359, 156.75
2026/03/05 14:38:30.181, 0, 0, 0, 148526, 183359, 156.67
2026/03/05 14:38:31.213, 0, 0, 0, 148526, 183359, 156.53
2026/03/05 14:38:32.244, 0, 0, 0, 148526, 183359, 156.47
2026/03/05 14:38:33.275, 0, 0, 0, 148526, 183359, 156.61
2026/03/05 14:38:34.304, 0, 0, 0, 148526, 183359, 156.51
2026/03/05 14:38:35.335, 0, 0, 0, 148526, 183359, 156.47
2026/03/05 14:38:36.365, 0, 0, 0, 148526, 183359, 156.45
2026/03/05 14:38:37.398, 0, 0, 0, 148526, 183359, 156.57
2026/03/05 14:38:38.429, 0, 0, 0, 148526, 183359, 156.63
2026/03/05 14:38:39.459, 0, 14, 2, 148526, 183359, 167.19
2026/03/05 14:38:40.488, 0, 17, 3, 148526, 183359, 197.58
2026/03/05 14:38:41.517, 0, 13, 3, 148526, 183359, 180.47
2026/03/05 14:38:42.544, 0, 19, 4, 148526, 183359, 195.03
2026/03/05 14:38:43.572, 0, 15, 4, 148526, 183359, 197.52
2026/03/05 14:38:44.598, 0, 15, 4, 148526, 183359, 194.67
2026/03/05 14:38:45.625, 0, 25, 6, 148526, 183359, 199.09
2026/03/05 14:38:46.653, 0, 29, 6, 148526, 183359, 207.88
2026/03/05 14:38:47.678, 0, 17, 5, 148526, 183359, 209.12
2026/03/05 14:38:48.705, 0, 17, 5, 148526, 183359, 211.71
2026/03/05 14:38:49.731, 0, 18, 5, 148526, 183359, 210.49
2026/03/05 14:38:50.759, 0, 18, 5, 148526, 183359, 212.10
2026/03/05 14:38:51.786, 0, 30, 7, 148526, 183359, 223.88
2026/03/05 14:38:52.813, 0, 20, 6, 148526, 183359, 214.98
2026/03/05 14:38:53.840, 0, 28, 7, 148526, 183359, 229.56
2026/03/05 14:38:54.867, 0, 21, 6, 148526, 183359, 237.13
