timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/05 01:58:05.287, 0, 0, 0, 148526, 183359, 156.60
2026/03/05 01:58:05.317, 0, 0, 0, 148526, 183359, 159.14
2026/03/05 01:58:06.350, 0, 0, 0, 148526, 183359, 156.86
2026/03/05 01:58:07.378, 0, 0, 0, 148526, 183359, 156.61
2026/03/05 01:58:08.408, 0, 0, 0, 148526, 183359, 156.56
2026/03/05 01:58:09.437, 0, 0, 0, 148526, 183359, 156.54
2026/03/05 01:58:10.467, 0, 0, 0, 148526, 183359, 156.42
2026/03/05 01:58:11.498, 0, 0, 0, 148526, 183359, 156.52
2026/03/05 01:58:12.527, 0, 0, 0, 148526, 183359, 156.49
2026/03/05 01:58:13.558, 0, 0, 0, 148526, 183359, 156.51
2026/03/05 01:58:14.586, 0, 0, 0, 148526, 183359, 156.52
2026/03/05 01:58:15.616, 0, 0, 0, 148526, 183359, 156.49
2026/03/05 01:58:16.644, 0, 0, 0, 148526, 183359, 156.46
2026/03/05 01:58:17.675, 0, 0, 0, 148526, 183359, 156.43
2026/03/05 01:58:18.703, 0, 0, 0, 148526, 183359, 156.42
2026/03/05 01:58:19.732, 0, 0, 0, 148526, 183359, 156.45
2026/03/05 01:58:20.758, 0, 0, 0, 148526, 183359, 158.97
2026/03/05 01:58:21.785, 0, 0, 0, 148526, 183359, 156.35
2026/03/05 01:58:22.812, 0, 0, 0, 148526, 183359, 156.45
2026/03/05 01:58:23.840, 0, 0, 0, 148526, 183359, 156.26
2026/03/05 01:58:24.868, 0, 0, 0, 148526, 183359, 156.31
2026/03/05 01:58:25.893, 0, 0, 0, 148526, 183359, 156.41
2026/03/05 01:58:26.922, 0, 0, 0, 148526, 183359, 156.27
2026/03/05 01:58:27.949, 0, 0, 0, 148526, 183359, 156.33
2026/03/05 01:58:28.980, 0, 0, 0, 148526, 183359, 156.34
2026/03/05 01:58:30.008, 0, 0, 0, 148526, 183359, 156.28
2026/03/05 01:58:31.039, 0, 87, 14, 148526, 183359, 401.02
2026/03/05 01:58:32.070, 0, 96, 16, 148526, 183359, 550.23
2026/03/05 01:58:33.103, 0, 39, 10, 148526, 183359, 412.13
2026/03/05 01:58:34.132, 0, 37, 10, 148526, 183359, 260.94
2026/03/05 01:58:35.162, 0, 37, 10, 148526, 183359, 255.96
2026/03/05 01:58:36.191, 0, 37, 10, 148526, 183359, 254.19
2026/03/05 01:58:37.222, 0, 36, 10, 148526, 183359, 248.32
2026/03/05 01:58:38.250, 0, 37, 10, 148526, 183359, 264.58
2026/03/05 01:58:39.283, 0, 39, 11, 148526, 183359, 264.62
2026/03/05 01:58:40.311, 0, 37, 10, 148526, 183359, 259.79
2026/03/05 01:58:41.341, 0, 36, 10, 148526, 183359, 269.64
2026/03/05 01:58:42.368, 0, 37, 10, 148526, 183359, 259.80
2026/03/05 01:58:43.398, 0, 38, 11, 148526, 183359, 254.85
2026/03/05 01:58:44.427, 0, 37, 11, 148526, 183359, 260.67
2026/03/05 01:58:45.456, 0, 38, 11, 148526, 183359, 259.82
2026/03/05 01:58:46.485, 0, 37, 11, 148526, 183359, 271.21
2026/03/05 01:58:47.514, 0, 38, 11, 148526, 183359, 266.79
2026/03/05 01:58:48.542, 0, 38, 11, 148526, 183359, 267.58
2026/03/05 01:58:49.570, 0, 36, 11, 148526, 183359, 268.38
2026/03/05 01:58:50.597, 0, 38, 11, 148526, 183359, 259.29
2026/03/05 01:58:51.626, 0, 37, 11, 148526, 183359, 264.73
2026/03/05 01:58:52.657, 0, 38, 11, 148526, 183359, 260.90
2026/03/05 01:58:53.687, 0, 39, 11, 148526, 183359, 261.35
2026/03/05 01:58:54.715, 0, 38, 11, 148526, 183359, 262.07
2026/03/05 01:58:55.745, 0, 38, 11, 148526, 183359, 260.16
2026/03/05 01:58:56.772, 0, 38, 11, 148526, 183359, 257.77
2026/03/05 01:58:57.800, 0, 38, 11, 148526, 183359, 266.27
2026/03/05 01:58:58.828, 0, 37, 11, 148526, 183359, 270.00
2026/03/05 01:58:59.856, 0, 39, 12, 148526, 183359, 264.00
2026/03/05 01:59:00.883, 0, 37, 11, 148526, 183359, 268.77
2026/03/05 01:59:01.910, 0, 38, 12, 148526, 183359, 261.42
2026/03/05 01:59:02.937, 0, 38, 12, 148526, 183359, 260.67
2026/03/05 01:59:03.966, 0, 39, 12, 148526, 183359, 270.30
2026/03/05 01:59:04.993, 0, 38, 12, 148526, 183359, 276.11
2026/03/05 01:59:06.022, 0, 36, 11, 148526, 183359, 271.29
2026/03/05 01:59:07.049, 0, 38, 12, 148526, 183359, 277.20
2026/03/05 01:59:08.080, 0, 40, 12, 148526, 183359, 278.27
2026/03/05 01:59:09.108, 0, 39, 12, 148526, 183359, 284.37
2026/03/05 01:59:10.136, 0, 39, 12, 148526, 183359, 281.60
2026/03/05 01:59:11.163, 0, 38, 12, 148526, 183359, 268.18
2026/03/05 01:59:12.190, 0, 56, 14, 148526, 183359, 273.83
2026/03/05 01:59:13.220, 0, 100, 18, 148526, 183359, 561.86
2026/03/05 01:59:14.252, 0, 100, 17, 148526, 183359, 583.38
2026/03/05 01:59:15.282, 0, 37, 10, 148526, 183359, 273.16
2026/03/05 01:59:16.314, 0, 36, 10, 148526, 183359, 255.57
2026/03/05 01:59:17.342, 0, 37, 10, 148526, 183359, 259.06
2026/03/05 01:59:18.373, 0, 36, 10, 148526, 183359, 257.24
2026/03/05 01:59:19.400, 0, 37, 10, 148526, 183359, 263.64
2026/03/05 01:59:20.431, 0, 36, 10, 148526, 183359, 268.39
2026/03/05 01:59:21.460, 0, 37, 11, 148526, 183359, 261.51
2026/03/05 01:59:22.490, 0, 37, 10, 148526, 183359, 261.39
2026/03/05 01:59:23.518, 0, 37, 11, 148526, 183359, 262.84
2026/03/05 01:59:24.547, 0, 37, 11, 148526, 183359, 257.56
2026/03/05 01:59:25.576, 0, 38, 11, 148526, 183359, 260.47
2026/03/05 01:59:26.605, 0, 36, 11, 148526, 183359, 261.89
2026/03/05 01:59:27.633, 0, 37, 11, 148526, 183359, 266.38
2026/03/05 01:59:28.662, 0, 37, 11, 148526, 183359, 261.06
2026/03/05 01:59:29.690, 0, 38, 11, 148526, 183359, 272.71
2026/03/05 01:59:30.718, 0, 37, 11, 148526, 183359, 255.97
2026/03/05 01:59:31.747, 0, 37, 11, 148526, 183359, 263.09
2026/03/05 01:59:32.780, 0, 37, 11, 148526, 183359, 275.02
2026/03/05 01:59:33.807, 0, 38, 11, 148526, 183359, 261.49
2026/03/05 01:59:34.836, 0, 39, 12, 148526, 183359, 269.71
2026/03/05 01:59:35.864, 0, 37, 11, 148526, 183359, 282.06
2026/03/05 01:59:36.893, 0, 36, 11, 148526, 183359, 271.28
2026/03/05 01:59:37.921, 0, 38, 11, 148526, 183359, 262.55
2026/03/05 01:59:38.951, 0, 37, 12, 148526, 183359, 265.16
2026/03/05 01:59:39.978, 0, 38, 12, 148526, 183359, 268.64
2026/03/05 01:59:41.007, 0, 37, 11, 148526, 183359, 266.27
2026/03/05 01:59:42.034, 0, 38, 12, 148526, 183359, 262.36
2026/03/05 01:59:43.062, 0, 37, 12, 148526, 183359, 267.13
2026/03/05 01:59:44.091, 0, 38, 12, 148526, 183359, 271.80
2026/03/05 01:59:45.121, 0, 37, 12, 148526, 183359, 267.45
2026/03/05 01:59:46.148, 0, 38, 12, 148526, 183359, 268.19
2026/03/05 01:59:47.184, 0, 37, 12, 148526, 183359, 264.65
2026/03/05 01:59:48.213, 0, 38, 12, 148526, 183359, 267.62
2026/03/05 01:59:49.244, 0, 38, 12, 148526, 183359, 278.92
2026/03/05 01:59:50.271, 0, 38, 12, 148526, 183359, 278.45
2026/03/05 01:59:51.300, 0, 39, 12, 148526, 183359, 278.40
2026/03/05 01:59:52.328, 0, 38, 12, 148526, 183359, 271.02
2026/03/05 01:59:53.356, 0, 39, 12, 148526, 183359, 269.52
2026/03/05 01:59:54.384, 0, 100, 18, 148526, 183359, 430.25
2026/03/05 01:59:55.415, 0, 100, 17, 148526, 183359, 577.95
2026/03/05 01:59:56.444, 0, 36, 9, 148526, 183359, 433.78
2026/03/05 01:59:57.474, 0, 37, 10, 148526, 183359, 268.25
2026/03/05 01:59:58.501, 0, 37, 10, 148526, 183359, 268.13
2026/03/05 01:59:59.529, 0, 35, 9, 148526, 183359, 249.27
2026/03/05 02:00:00.558, 0, 36, 10, 148526, 183359, 256.98
2026/03/05 02:00:01.590, 0, 37, 10, 148526, 183359, 256.91
2026/03/05 02:00:02.618, 0, 37, 10, 148526, 183359, 258.67
2026/03/05 02:00:03.648, 0, 38, 11, 148526, 183359, 257.76
2026/03/05 02:00:04.675, 0, 37, 10, 148526, 183359, 272.07
2026/03/05 02:00:05.706, 0, 37, 11, 148526, 183359, 263.71
2026/03/05 02:00:06.734, 0, 36, 10, 148526, 183359, 257.90
2026/03/05 02:00:07.764, 0, 36, 10, 148526, 183359, 263.06
2026/03/05 02:00:08.792, 0, 37, 11, 148526, 183359, 265.10
2026/03/05 02:00:09.821, 0, 36, 11, 148526, 183359, 259.35
2026/03/05 02:00:10.848, 0, 37, 11, 148526, 183359, 260.96
