model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-20b,1,1024,1024,32,320,0.768,786.272,1572.544,181.753,163.122,435.099,40.548,40.555,41.494,17.207,18.000,148526.000,148526.000,198.430,202.740,320,0
openai/gpt-oss-20b,1,1024,1024,64,640,1.488,1523.425,3046.850,220.852,194.174,686.272,41.814,41.639,43.077,20.593,21.000,148526.000,148526.000,211.494,216.770,640,0
openai/gpt-oss-20b,1,1024,1024,128,1280,2.905,2974.765,5949.531,280.415,235.675,1197.454,42.758,42.661,44.150,26.300,27.000,148526.000,148526.000,234.030,239.430,1280,0
openai/gpt-oss-20b,1,1024,1024,256,2560,5.968,6111.623,12223.246,374.170,253.498,2204.097,41.486,41.484,43.529,37.106,40.000,148526.000,148526.000,271.036,374.040,2560,0
openai/gpt-oss-20b,1,1024,1024,512,5120,10.241,10486.308,20972.616,603.621,369.815,4368.229,48.124,48.090,51.139,42.533,100.000,148526.015,148528.000,307.564,553.380,5120,0
