timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/05 15:23:51.945, 0, 0, 0, 148526, 183359, 156.60
2026/03/05 15:23:51.975, 0, 0, 0, 148526, 183359, 156.60
2026/03/05 15:23:53.005, 0, 0, 0, 148526, 183359, 156.54
2026/03/05 15:23:54.036, 0, 0, 0, 148526, 183359, 156.51
2026/03/05 15:23:55.066, 0, 0, 0, 148526, 183359, 156.51
2026/03/05 15:23:56.096, 0, 0, 0, 148526, 183359, 156.52
2026/03/05 15:23:57.127, 0, 0, 0, 148526, 183359, 156.54
2026/03/05 15:23:58.158, 0, 0, 0, 148526, 183359, 156.61
2026/03/05 15:23:59.188, 0, 0, 0, 148526, 183359, 156.56
2026/03/05 15:24:00.217, 0, 0, 0, 148526, 183359, 158.98
2026/03/05 15:24:01.245, 0, 0, 0, 148526, 183359, 156.54
2026/03/05 15:24:02.278, 0, 13, 2, 148526, 183359, 164.07
2026/03/05 15:24:03.312, 0, 17, 3, 148526, 183359, 193.21
2026/03/05 15:24:04.348, 0, 13, 3, 148526, 183359, 178.20
2026/03/05 15:24:05.382, 0, 18, 4, 148526, 183359, 190.82
2026/03/05 15:24:06.418, 0, 29, 5, 148526, 183359, 199.35
2026/03/05 15:24:07.453, 0, 15, 4, 148526, 183359, 193.43
2026/03/05 15:24:08.488, 0, 15, 4, 148526, 183359, 191.34
2026/03/05 15:24:09.520, 0, 16, 5, 148526, 183359, 202.78
2026/03/05 15:24:10.550, 0, 21, 5, 148526, 183359, 204.53
2026/03/05 15:24:11.584, 0, 30, 6, 148526, 183359, 210.02
2026/03/05 15:24:12.617, 0, 18, 5, 148526, 183359, 209.55
2026/03/05 15:24:13.651, 0, 18, 6, 148526, 183359, 209.00
2026/03/05 15:24:14.683, 0, 31, 7, 148526, 183359, 230.51
2026/03/05 15:24:15.719, 0, 19, 6, 148526, 183359, 214.44
2026/03/05 15:24:16.751, 0, 23, 6, 148526, 183359, 224.37
2026/03/05 15:24:17.782, 0, 33, 7, 148526, 183359, 231.15
2026/03/05 15:24:18.812, 0, 21, 6, 148526, 183359, 210.02
2026/03/05 15:24:19.844, 0, 20, 6, 148526, 183359, 214.33
2026/03/05 15:24:20.876, 0, 21, 6, 148526, 183359, 219.51
2026/03/05 15:24:21.911, 0, 21, 6, 148526, 183359, 238.63
2026/03/05 15:24:22.944, 0, 26, 7, 148526, 183359, 226.06
2026/03/05 15:24:23.975, 0, 25, 7, 148526, 183359, 239.85
2026/03/05 15:24:25.004, 0, 27, 7, 148526, 183359, 233.96
2026/03/05 15:24:26.039, 0, 30, 7, 148526, 183359, 231.96
2026/03/05 15:24:27.070, 0, 24, 7, 148526, 183359, 230.52
2026/03/05 15:24:28.103, 0, 22, 6, 148526, 183359, 231.67
2026/03/05 15:24:29.135, 0, 24, 7, 148526, 183359, 240.41
2026/03/05 15:24:30.167, 0, 25, 7, 148526, 183359, 231.69
2026/03/05 15:24:31.197, 0, 29, 8, 148526, 183359, 234.57
2026/03/05 15:24:32.229, 0, 26, 8, 148526, 183359, 233.94
2026/03/05 15:24:33.259, 0, 31, 9, 148526, 183359, 246.63
2026/03/05 15:24:34.292, 0, 35, 9, 148526, 183359, 249.28
2026/03/05 15:24:35.324, 0, 35, 9, 148526, 183359, 240.33
2026/03/05 15:24:36.357, 0, 29, 9, 148526, 183359, 239.04
2026/03/05 15:24:37.388, 0, 32, 9, 148526, 183359, 244.72
2026/03/05 15:24:38.424, 0, 30, 9, 148526, 183359, 241.47
2026/03/05 15:24:39.455, 0, 35, 9, 148526, 183359, 242.27
2026/03/05 15:24:40.486, 0, 29, 9, 148526, 183359, 247.55
2026/03/05 15:24:41.515, 0, 34, 10, 148526, 183359, 253.85
