model,tp,isl,osl,request_rate,max_concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-20b,1,1024,1024,1.000000,256,300,0.878060,899.133342,1798.266683,114.222849,114.749473,137.682919,41.062234,40.767439,42.330522,17.276163,23.000000,148526.000000,148526.000000,200.346851,213.560000,300.000000,0.000000
openai/gpt-oss-20b,1,1024,1024,2.000000,256,300,1.565380,1602.948846,3205.897692,119.229141,119.488773,142.932349,42.297765,42.409805,42.637902,20.005051,29.000000,148526.000000,148526.000000,210.564848,232.010000,300.000000,0.000000
openai/gpt-oss-20b,1,1024,1024,4.000000,256,300,2.564564,2626.113394,5252.226788,121.499390,122.056919,144.558847,39.521117,39.354463,41.127092,23.722222,38.000000,148526.000000,148526.000000,222.428730,259.590000,300.000000,0.000000
openai/gpt-oss-20b,1,1024,1024,8.000000,256,300,3.313796,3393.327041,6786.654083,122.139929,122.850062,148.549036,40.992131,41.035500,41.328819,25.494949,40.000000,148526.000000,148526.000000,229.682323,280.510000,300.000000,0.000000
openai/gpt-oss-20b,1,1024,1024,16.000000,256,300,3.445355,3528.043754,7056.087509,123.332377,124.330014,154.350479,40.960028,40.767981,41.269583,25.371134,42.000000,148526.000000,148526.000000,231.438000,291.870000,300.000000,0.000000
