label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu2,256,4096,4096,bf16,189.04,149.45,157.49,0.0454,0.0602,0.0545,NVIDIA GB200,2062,3996,2040,3996
node2_gpu2,2304,4096,4096,bf16,921.40,794.93,772.14,0.0839,0.0981,0.1001,NVIDIA GB200,2062,3996,2040,3996
node2_gpu2,4352,4096,4096,bf16,855.53,832.94,834.58,0.1707,0.1754,0.1750,NVIDIA GB200,2062,3996,2040,3996
node2_gpu2,6400,4096,4096,bf16,983.14,945.93,946.66,0.2184,0.2272,0.2268,NVIDIA GB200,2062,3996,2040,3996
node2_gpu2,8448,4096,4096,bf16,1120.32,1088.65,1094.03,0.2530,0.2605,0.2591,NVIDIA GB200,2062,3996,2040,3996
node2_gpu2,10496,4096,4096,bf16,1147.28,1123.62,1127.42,0.3070,0.3135,0.3124,NVIDIA GB200,2062,3996,2040,3996
node2_gpu2,12544,4096,4096,bf16,1254.13,1216.86,1215.54,0.3356,0.3460,0.3463,NVIDIA GB200,2062,3996,2040,3996
node2_gpu2,14592,4096,4096,bf16,1393.26,1325.34,1324.23,0.3514,0.3697,0.3697,NVIDIA GB200,2062,3996,2040,3996
node2_gpu2,16640,4096,4096,bf16,1498.74,1453.86,1450.76,0.3725,0.3841,0.3849,NVIDIA GB200,2062,3996,2040,3996
node2_gpu2,18688,4096,4096,bf16,1505.28,1467.22,1470.77,0.4166,0.4275,0.4264,NVIDIA GB200,2062,3996,2040,3996
node2_gpu2,256,4096,4096,bf16,261.38,220.26,231.81,0.0329,0.0402,0.0371,NVIDIA GB200,2062,3996,2062,3996
node2_gpu2,2304,4096,4096,bf16,876.29,813.91,813.17,0.0882,0.0952,0.0951,NVIDIA GB200,2062,3996,2062,3996
node2_gpu2,4352,4096,4096,bf16,1113.03,1063.50,1066.47,0.1312,0.1374,0.1369,NVIDIA GB200,2062,3996,2062,3996
node2_gpu2,6400,4096,4096,bf16,1187.77,1143.32,1148.24,0.1808,0.1879,0.1870,NVIDIA GB200,2062,3996,2062,3996
node2_gpu2,8448,4096,4096,bf16,1362.41,1310.70,1312.16,0.2081,0.2163,0.2160,NVIDIA GB200,2062,3996,2062,3996
node2_gpu2,10496,4096,4096,bf16,1418.83,1392.60,1394.82,0.2482,0.2530,0.2525,NVIDIA GB200,2062,3996,2062,3996
node2_gpu2,12544,4096,4096,bf16,1470.47,1439.98,1442.25,0.2862,0.2923,0.2918,NVIDIA GB200,2062,3996,2062,3996
node2_gpu2,14592,4096,4096,bf16,1551.65,1523.64,1521.34,0.3156,0.3214,0.3218,NVIDIA GB200,2062,3996,2062,3996
node2_gpu2,16640,4096,4096,bf16,1573.19,1544.64,1544.51,0.3549,0.3615,0.3615,NVIDIA GB200,2062,3996,2062,3996
node2_gpu2,18688,4096,4096,bf16,1605.29,1544.61,1550.98,0.3906,0.4063,0.4043,NVIDIA GB200,2062,3996,2062,3996
