model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,completed,failed
openai/gpt-oss-120b,4,1024,1024,32,320,6.746,6907.765,13815.531,184.532,184.628,340.806,4.455,4.450,4.615,78.527,99.000,174959.397,174970.000,320,0
openai/gpt-oss-120b,4,1024,1024,64,640,12.239,12532.259,25064.518,166.608,157.052,376.778,4.936,4.827,6.001,77.198,99.500,174959.635,174969.000,640,0
openai/gpt-oss-120b,4,1024,1024,128,1280,18.521,18965.571,37931.141,212.033,193.704,450.934,6.525,6.404,7.851,78.659,100.000,174960.366,174970.000,1280,0
openai/gpt-oss-120b,4,1024,1024,256,2560,24.293,24876.109,49752.217,780.761,689.325,1763.173,9.431,9.099,10.980,78.807,100.000,174961.000,174969.000,2560,0
openai/gpt-oss-120b,4,1024,1024,512,5120,26.250,26879.579,53759.158,5478.705,4746.092,11717.044,13.239,13.766,19.387,80.552,100.000,174961.000,174969.000,5120,0
