label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,256,4096,4096,bf16,221.85,194.29,201.09,0.0387,0.0452,0.0427,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,2304,4096,4096,bf16,741.53,719.06,721.28,0.1043,0.1076,0.1072,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,4352,4096,4096,bf16,966.82,929.27,928.66,0.1510,0.1572,0.1572,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,6400,4096,4096,bf16,1100.87,1085.40,1082.84,0.1951,0.1979,0.1983,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,8448,4096,4096,bf16,1283.45,1255.60,1259.10,0.2209,0.2258,0.2251,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,10496,4096,4096,bf16,1334.20,1312.65,1317.75,0.2640,0.2683,0.2673,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,12544,4096,4096,bf16,1547.27,1446.98,1497.34,0.2720,0.3026,0.2811,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,14592,4096,4096,bf16,1469.82,1448.64,1448.39,0.3331,0.3380,0.3380,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,16640,4096,4096,bf16,1501.70,1471.70,1477.79,0.3718,0.3795,0.3778,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,18688,4096,4096,bf16,1542.00,1517.00,1514.42,0.4067,0.4134,0.4141,NVIDIA GB200,2062,3996,1950,3996
