model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,completed,failed
openai/gpt-oss-120b,4,1024,1024,32,320,6.190,6338.891,12677.782,158.587,152.949,346.328,4.894,4.903,5.027,81.449,99.000,174922.661,174931.000,320,0
openai/gpt-oss-120b,4,1024,1024,64,640,12.495,12794.571,25589.142,142.515,119.142,407.096,4.856,4.793,6.015,78.475,99.500,174923.238,174933.000,640,0
openai/gpt-oss-120b,4,1024,1024,128,1280,17.760,18186.245,36372.490,231.457,232.056,480.400,6.791,6.760,7.894,79.652,100.000,174924.214,174933.000,1280,0
openai/gpt-oss-120b,4,1024,1024,256,2560,22.839,23386.837,46773.674,896.739,803.520,2086.138,9.879,9.758,12.172,78.938,100.000,174925.000,174933.000,2560,0
openai/gpt-oss-120b,4,1024,1024,512,5120,23.720,24288.952,48577.903,4862.461,4530.987,11495.860,15.837,17.337,22.677,76.792,100.000,174925.000,174933.000,5120,0
