label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,256,4096,4096,bf16,270.60,245.56,254.81,0.0317,0.0356,0.0337,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,2304,4096,4096,bf16,956.80,919.59,916.34,0.0808,0.0841,0.0844,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,4352,4096,4096,bf16,1081.63,1046.00,1054.88,0.1350,0.1399,0.1384,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,6400,4096,4096,bf16,1215.96,1183.30,1189.66,0.1766,0.1816,0.1805,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,8448,4096,4096,bf16,1374.88,1351.09,1348.61,0.2062,0.2098,0.2102,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,10496,4096,4096,bf16,1420.84,1393.46,1395.71,0.2479,0.2528,0.2523,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,12544,4096,4096,bf16,1466.53,1438.89,1437.92,0.2870,0.2925,0.2927,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,14592,4096,4096,bf16,1531.61,1503.74,1503.77,0.3197,0.3256,0.3256,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,16640,4096,4096,bf16,1548.48,1515.67,1519.75,0.3606,0.3685,0.3674,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,18688,4096,4096,bf16,1580.94,1559.26,1559.62,0.3966,0.4022,0.4021,NVIDIA GB200,2062,3996,1950,3996
