label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,256,4096,4096,bf16,227.49,201.93,205.39,0.0378,0.0431,0.0418,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,2304,4096,4096,bf16,851.58,805.13,801.44,0.0908,0.0962,0.0965,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,4352,4096,4096,bf16,1027.79,1002.92,1010.50,0.1421,0.1457,0.1445,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,6400,4096,4096,bf16,1159.25,1133.51,1134.75,0.1852,0.1895,0.1892,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,8448,4096,4096,bf16,1327.49,1287.17,1287.27,0.2135,0.2203,0.2202,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,10496,4096,4096,bf16,1383.17,1345.09,1354.90,0.2546,0.2620,0.2599,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,12544,4096,4096,bf16,1428.31,1405.11,1409.34,0.2947,0.2996,0.2987,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,14592,4096,4096,bf16,1620.68,1584.65,1587.14,0.3021,0.3090,0.3085,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,16640,4096,4096,bf16,1613.19,1591.48,1597.39,0.3461,0.3509,0.3495,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,18688,4096,4096,bf16,1664.61,1641.46,1643.80,0.3767,0.3820,0.3815,NVIDIA GB200,2062,3996,1950,3996
