label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,16384,16384,16384,bf16,50,5.60639833798632,5.705720977857709,5.858807999175042,1568.9382901335796,1541.6269138191565,1501.3451581698098,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,50,5.751341565046459,5.879832024220377,5.911192041821778,1529.3984755949623,1495.9769234860578,1488.0404764344487,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,50,5.648719017626718,5.826456006616354,6.0586800100281835,1557.1836720431593,1509.6815306284666,1451.8167336200156,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,50,5.642242920584977,5.691959988325834,5.84120798157528,1558.9709883132855,1545.353980043556,1505.8688288369822,3,2062,3996,1950,3996
