label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,256,4096,4096,bf16,241.83,210.32,224.92,0.0355,0.0423,0.0382,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,2304,4096,4096,bf16,924.22,867.69,866.42,0.0836,0.0892,0.0892,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,4352,4096,4096,bf16,1088.86,1057.69,1061.51,0.1341,0.1381,0.1376,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,6400,4096,4096,bf16,1204.18,1179.72,1179.11,0.1783,0.1821,0.1821,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,8448,4096,4096,bf16,1357.19,1330.35,1332.39,0.2089,0.2131,0.2128,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,10496,4096,4096,bf16,1424.34,1380.50,1380.30,0.2473,0.2551,0.2552,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,12544,4096,4096,bf16,1462.29,1434.42,1435.88,0.2878,0.2935,0.2931,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,14592,4096,4096,bf16,1533.30,1499.49,1501.11,0.3193,0.3266,0.3262,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,16640,4096,4096,bf16,1549.72,1516.19,1513.95,0.3603,0.3683,0.3688,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,18688,4096,4096,bf16,1598.87,1570.35,1570.80,0.3922,0.3994,0.3992,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,256,4096,4096,bf16,171.41,136.29,139.88,0.0501,0.0660,0.0614,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,2304,4096,4096,bf16,994.21,909.32,915.01,0.0778,0.0855,0.0845,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,4352,4096,4096,bf16,836.86,810.53,814.89,0.1745,0.1802,0.1792,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,6400,4096,4096,bf16,1185.88,1122.05,1119.97,0.1811,0.1916,0.1917,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,8448,4096,4096,bf16,1490.05,1439.96,1443.08,0.1902,0.1970,0.1964,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,10496,4096,4096,bf16,1356.90,1330.08,1331.46,0.2596,0.2648,0.2645,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,12544,4096,4096,bf16,1418.76,1393.94,1396.62,0.2967,0.3020,0.3014,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,14592,4096,4096,bf16,1605.37,1575.59,1584.59,0.3050,0.3109,0.3090,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,16640,4096,4096,bf16,1518.56,1495.63,1499.12,0.3677,0.3734,0.3724,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,18688,4096,4096,bf16,1563.29,1542.17,1546.20,0.4011,0.4067,0.4056,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,256,4096,4096,bf16,264.21,224.51,234.65,0.0325,0.0402,0.0366,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,2304,4096,4096,bf16,1119.52,1066.30,1081.92,0.0691,0.0727,0.0715,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,4352,4096,4096,bf16,1070.47,1009.73,1010.05,0.1364,0.1448,0.1446,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,6400,4096,4096,bf16,1185.25,1143.67,1146.00,0.1812,0.1878,0.1874,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,8448,4096,4096,bf16,1341.36,1306.78,1312.26,0.2113,0.2170,0.2160,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,10496,4096,4096,bf16,1402.38,1378.52,1378.58,0.2511,0.2555,0.2555,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,12544,4096,4096,bf16,1467.68,1440.63,1442.17,0.2868,0.2922,0.2919,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,14592,4096,4096,bf16,1647.55,1607.00,1609.00,0.2972,0.3048,0.3043,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,16640,4096,4096,bf16,1631.45,1588.91,1592.14,0.3422,0.3515,0.3507,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,18688,4096,4096,bf16,1648.37,1609.13,1609.84,0.3804,0.3898,0.3895,NVIDIA GB200,2062,3996,1950,3996
