label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,16384,16384,16384,bf16,50,5.690954619785771,5.776356963906437,6.030887016095221,1545.6269834987927,1522.7751811687508,1458.507347050774,0,2062,3996,1950,3996
node1_gpu1,16384,16384,16384,bf16,50,5.881469799205661,6.039206986315548,6.456873961724341,1495.5603484346686,1456.49802070692,1362.2835251780195,1,2062,3996,1950,3996
node1_gpu2,16384,16384,16384,bf16,50,5.732640080386773,5.830373032949865,5.950118997134268,1534.387803675709,1508.6672795201298,1478.3053963197083,2,2062,3996,1950,3996
node1_gpu3,16384,16384,16384,bf16,50,5.584420878440142,5.7396210031583905,5.912902008276433,1575.1128386771868,1532.5215754433434,1487.6101464045732,3,2062,3996,1950,3996
