label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu3,256,4096,4096,bf16,270.60,236.39,246.84,0.0317,0.0372,0.0348,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,2304,4096,4096,bf16,916.86,886.68,882.69,0.0843,0.0872,0.0876,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,4352,4096,4096,bf16,1147.74,1110.05,1116.75,0.1272,0.1316,0.1308,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,6400,4096,4096,bf16,1235.21,1210.24,1216.95,0.1739,0.1775,0.1765,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,8448,4096,4096,bf16,1418.47,1374.90,1371.16,0.1998,0.2062,0.2067,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,10496,4096,4096,bf16,1439.80,1417.93,1422.04,0.2446,0.2484,0.2477,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,12544,4096,4096,bf16,1499.47,1472.98,1473.93,0.2807,0.2858,0.2856,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,14592,4096,4096,bf16,1572.06,1542.53,1546.24,0.3115,0.3175,0.3167,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,16640,4096,4096,bf16,1568.25,1548.83,1547.59,0.3560,0.3605,0.3608,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,18688,4096,4096,bf16,1634.75,1604.88,1604.24,0.3836,0.3908,0.3909,NVIDIA GB200,2062,3996,1950,3996
