label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,256,4096,4096,bf16,208.41,180.94,187.92,0.0412,0.0485,0.0457,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,2304,4096,4096,bf16,855.50,805.40,809.50,0.0904,0.0962,0.0955,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,4352,4096,4096,bf16,1039.50,1007.31,1007.26,0.1405,0.1451,0.1450,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,6400,4096,4096,bf16,1144.23,1127.26,1137.15,0.1877,0.1906,0.1888,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,8448,4096,4096,bf16,1326.30,1294.37,1304.72,0.2137,0.2191,0.2173,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,10496,4096,4096,bf16,1381.08,1354.94,1354.57,0.2550,0.2600,0.2600,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,12544,4096,4096,bf16,1436.42,1415.49,1415.17,0.2930,0.2974,0.2974,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,14592,4096,4096,bf16,1512.39,1488.03,1491.75,0.3237,0.3291,0.3282,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,16640,4096,4096,bf16,1546.42,1518.99,1522.87,0.3611,0.3676,0.3666,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,18688,4096,4096,bf16,1607.00,1577.69,1580.82,0.3902,0.3975,0.3967,NVIDIA GB200,2062,3996,1950,3996
