label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,16384,16384,16384,bf16,50,5.6839720625430346,5.790029012132436,5.939246038906276,1547.5257312001263,1519.1794382682112,1481.0117251562485,0,2062,3996,1950,3996
node1_gpu1,16384,16384,16384,bf16,50,5.972177940420806,6.039341969881207,6.384943029843271,1472.8451010601027,1456.4654669457339,1377.6306195834475,1,2062,3996,1950,3996
node1_gpu2,16384,16384,16384,bf16,50,5.671211365843192,5.656269029714167,6.010574987158179,1551.0077926535196,1555.105136619094,1463.4362005300966,2,2062,3996,1950,3996
node1_gpu3,16384,16384,16384,bf16,50,5.641568859573454,5.792463023681194,5.917519039940089,1559.1572559256242,1518.541074193678,1486.4494668862199,3,2062,3996,1950,3996
