label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,16384,16384,16384,bf16,50,5.703421600628644,5.724610993638635,5.855972005520016,1542.2484322811545,1536.5398682954162,1502.0722458912946,0,2062,3996,1950,3996
node1_gpu1,16384,16384,16384,bf16,50,5.855206418782473,6.0286460211500525,6.323209963738918,1502.268646582925,1459.0495098483184,1391.080333034974,1,2062,3996,1950,3996
node1_gpu2,16384,16384,16384,bf16,50,5.69680264336057,5.75507601024583,6.019110034685582,1544.0403280355072,1528.406055202088,1461.3610602763267,2,2062,3996,1950,3996
node1_gpu3,16384,16384,16384,bf16,50,5.588540834141895,5.698658002074808,5.955653032287955,1573.951641986815,1543.5376221920064,1476.931744431869,3,2062,3996,1950,3996
