label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu3,256,4096,4096,bf16,239.25,210.21,216.48,0.0359,0.0419,0.0397,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,2304,4096,4096,bf16,1155.39,1082.77,1096.65,0.0669,0.0717,0.0705,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,4352,4096,4096,bf16,1086.78,1057.66,1054.88,0.1344,0.1381,0.1384,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,6400,4096,4096,bf16,1334.70,1272.52,1267.53,0.1609,0.1688,0.1694,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,8448,4096,4096,bf16,1362.83,1278.68,1264.58,0.2080,0.2219,0.2242,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,10496,4096,4096,bf16,1548.16,1521.37,1523.41,0.2275,0.2316,0.2312,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,12544,4096,4096,bf16,1468.83,1448.60,1457.03,0.2866,0.2906,0.2889,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,14592,4096,4096,bf16,1661.69,1620.91,1625.33,0.2947,0.3021,0.3012,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,16640,4096,4096,bf16,1640.34,1615.27,1614.91,0.3404,0.3457,0.3457,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,18688,4096,4096,bf16,1652.96,1634.11,1634.55,0.3794,0.3838,0.3836,NVIDIA GB200,2062,3996,1950,3996
