label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu3,256,4096,4096,bf16,188.77,151.03,160.09,0.0455,0.0603,0.0537,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,2304,4096,4096,bf16,564.86,520.11,515.56,0.1369,0.1491,0.1500,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,4352,4096,4096,bf16,1137.44,887.89,868.72,0.1284,0.1662,0.1681,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,6400,4096,4096,bf16,983.28,950.61,952.71,0.2184,0.2260,0.2254,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,8448,4096,4096,bf16,1098.51,1059.75,1063.69,0.2580,0.2676,0.2665,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,10496,4096,4096,bf16,1184.19,1126.41,1120.53,0.2974,0.3129,0.3143,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,12544,4096,4096,bf16,1459.21,1365.40,1363.68,0.2884,0.3085,0.3087,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,14592,4096,4096,bf16,1652.71,1571.64,1566.82,0.2963,0.3118,0.3125,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,16640,4096,4096,bf16,1490.67,1460.14,1458.77,0.3746,0.3824,0.3828,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,18688,4096,4096,bf16,1676.86,1624.32,1630.13,0.3740,0.3863,0.3847,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,256,4096,4096,bf16,285.27,250.67,260.49,0.0301,0.0353,0.0330,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,2304,4096,4096,bf16,944.46,876.29,878.04,0.0819,0.0884,0.0880,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,4352,4096,4096,bf16,1175.23,1115.79,1117.66,0.1243,0.1309,0.1307,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,6400,4096,4096,bf16,1229.10,1190.49,1193.68,0.1747,0.1805,0.1799,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,8448,4096,4096,bf16,1397.44,1339.85,1345.44,0.2028,0.2117,0.2107,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,10496,4096,4096,bf16,1444.72,1403.53,1407.22,0.2438,0.2510,0.2503,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,12544,4096,4096,bf16,1448.61,1421.14,1420.68,0.2906,0.2962,0.2963,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,14592,4096,4096,bf16,1550.71,1510.16,1513.81,0.3157,0.3243,0.3234,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,16640,4096,4096,bf16,1576.89,1556.89,1562.21,0.3541,0.3587,0.3574,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,18688,4096,4096,bf16,1642.01,1600.35,1604.83,0.3819,0.3919,0.3907,NVIDIA GB200,2062,3996,1950,3996
