label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu2,256,4096,4096,bf16,264.99,225.09,227.81,0.0324,0.0392,0.0377,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,2304,4096,4096,bf16,928.13,889.72,888.70,0.0833,0.0869,0.0870,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,4352,4096,4096,bf16,1133.48,1102.25,1110.72,0.1288,0.1325,0.1315,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,6400,4096,4096,bf16,1235.89,1205.75,1206.99,0.1738,0.1782,0.1779,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,8448,4096,4096,bf16,1410.34,1370.77,1381.75,0.2010,0.2069,0.2052,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,10496,4096,4096,bf16,1520.78,1475.40,1479.88,0.2316,0.2388,0.2380,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,12544,4096,4096,bf16,1487.09,1459.39,1459.78,0.2830,0.2884,0.2883,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,14592,4096,4096,bf16,1552.12,1532.32,1535.30,0.3155,0.3196,0.3189,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,16640,4096,4096,bf16,1579.46,1554.41,1555.73,0.3535,0.3592,0.3589,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,18688,4096,4096,bf16,1619.22,1598.24,1601.22,0.3873,0.3924,0.3916,NVIDIA GB200,2062,3996,1950,3996
