label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu1,256,4096,4096,bf16,232.81,202.11,200.70,0.0369,0.0435,0.0428,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,2304,4096,4096,bf16,860.37,785.22,797.35,0.0899,0.0989,0.0970,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,4352,4096,4096,bf16,1265.15,1224.83,1232.86,0.1154,0.1193,0.1184,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,6400,4096,4096,bf16,1151.10,1124.10,1123.07,0.1866,0.1911,0.1912,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,8448,4096,4096,bf16,1318.21,1288.85,1295.27,0.2150,0.2200,0.2188,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,10496,4096,4096,bf16,1383.34,1349.23,1352.16,0.2546,0.2611,0.2605,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,12544,4096,4096,bf16,1426.30,1403.73,1402.42,0.2951,0.2999,0.3001,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,14592,4096,4096,bf16,1527.94,1472.62,1475.85,0.3204,0.3327,0.3318,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,16640,4096,4096,bf16,1400.68,1358.35,1364.91,0.3986,0.4112,0.4091,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,18688,4096,4096,bf16,1586.19,1529.65,1530.10,0.3953,0.4102,0.4099,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,256,4096,4096,bf16,220.75,197.65,206.43,0.0389,0.0445,0.0416,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,2304,4096,4096,bf16,823.42,774.59,776.95,0.0939,0.0999,0.0995,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,4352,4096,4096,bf16,1047.37,1007.46,1006.60,0.1394,0.1450,0.1451,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,6400,4096,4096,bf16,1181.08,1140.95,1145.79,0.1818,0.1883,0.1874,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,8448,4096,4096,bf16,1357.60,1328.31,1329.29,0.2088,0.2135,0.2132,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,10496,4096,4096,bf16,1433.24,1374.79,1380.30,0.2457,0.2563,0.2552,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,12544,4096,4096,bf16,1448.61,1420.88,1420.68,0.2906,0.2963,0.2963,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,14592,4096,4096,bf16,1529.62,1501.45,1503.77,0.3201,0.3261,0.3256,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,16640,4096,4096,bf16,1533.92,1500.78,1498.42,0.3640,0.3721,0.3726,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,18688,4096,4096,bf16,1569.17,1547.88,1549.26,0.3996,0.4051,0.4048,NVIDIA GB200,2062,3996,1950,3996
