label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,16384,16384,16384,bf16,50,5.864211597945541,5.939704016782343,6.049398973118514,1499.9617382990764,1480.8975324957387,1454.044122613646,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,50,5.737652579555288,5.806169006973505,6.000792025588453,1533.0473395253507,1514.9564216342037,1465.8220089447998,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,50,5.746089163003489,5.851064051967114,5.980248039122671,1530.7964726412756,1503.332204891993,1470.8575571889533,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,50,5.633330404525623,5.723129026591778,5.8518320438452065,1561.4374429629625,1536.937745302979,1503.1349082309162,3,2062,3996,1950,3996
