model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-20b,1,1024,1024,32,320,0.768000,786.272000,1572.544000,181.753000,160.539000,460.532000,40.548000,40.870000,41.494000,17.207000,18.000000,148526.000000,148526.000000,198.430000,204.540000,320.000000,0.000000
openai/gpt-oss-20b,1,1024,1024,64,640,1.497000,1532.505000,3065.010000,224.361000,197.802000,722.190000,41.560000,41.302000,42.715000,20.528000,21.000000,148526.000000,148526.000000,211.494000,216.000000,640.000000,0.000000
openai/gpt-oss-20b,1,1024,1024,128,1280,2.852000,2920.485000,5840.971000,280.415000,235.699000,1202.268000,43.555000,43.593000,44.318000,26.152000,27.000000,148526.000000,148526.000000,232.944000,239.430000,1280.000000,0.000000
openai/gpt-oss-20b,1,1024,1024,256,2560,5.968000,6111.623000,12223.246000,374.170000,253.498000,2196.305000,41.486000,41.484000,43.529000,37.106000,40.000000,148526.000000,148526.000000,271.036000,358.440000,2560.000000,0.000000
openai/gpt-oss-20b,1,1024,1024,512,5120,10.477000,10728.398000,21456.795000,603.621000,369.815000,4453.392000,47.017000,46.416000,50.598000,43.585000,100.000000,148526.016000,148528.000000,310.858000,568.760000,5120.000000,0.000000
