timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/05 02:43:01.249, 0, 0, 0, 148526, 183359, 156.48
2026/03/05 02:43:01.278, 0, 0, 0, 148526, 183359, 156.48
2026/03/05 02:43:02.309, 0, 0, 0, 148526, 183359, 156.52
2026/03/05 02:43:03.340, 0, 0, 0, 148526, 183359, 156.45
2026/03/05 02:43:04.368, 0, 0, 0, 148526, 183359, 156.51
2026/03/05 02:43:05.398, 0, 0, 0, 148526, 183359, 156.52
2026/03/05 02:43:06.427, 0, 0, 0, 148526, 183359, 156.55
2026/03/05 02:43:07.455, 0, 0, 0, 148526, 183359, 156.54
2026/03/05 02:43:08.483, 0, 0, 0, 148526, 183359, 156.59
2026/03/05 02:43:09.512, 0, 0, 0, 148526, 183359, 156.60
2026/03/05 02:43:10.539, 0, 0, 0, 148526, 183359, 159.07
2026/03/05 02:43:11.568, 0, 0, 0, 148526, 183359, 156.59
2026/03/05 02:43:12.593, 0, 0, 0, 148526, 183359, 156.59
2026/03/05 02:43:13.621, 0, 0, 0, 148526, 183359, 156.64
2026/03/05 02:43:14.647, 0, 0, 0, 148526, 183359, 156.66
2026/03/05 02:43:15.676, 0, 0, 0, 148526, 183359, 156.78
2026/03/05 02:43:16.703, 0, 0, 0, 148526, 183359, 156.61
2026/03/05 02:43:17.732, 0, 0, 0, 148526, 183359, 156.64
2026/03/05 02:43:18.758, 0, 0, 0, 148526, 183359, 156.62
2026/03/05 02:43:19.785, 0, 0, 0, 148526, 183359, 156.64
2026/03/05 02:43:20.812, 0, 0, 0, 148526, 183359, 156.56
2026/03/05 02:43:21.841, 0, 0, 0, 148526, 183359, 156.62
2026/03/05 02:43:22.867, 0, 0, 0, 148526, 183359, 156.68
2026/03/05 02:43:23.895, 0, 0, 0, 148526, 183359, 156.76
2026/03/05 02:43:24.921, 0, 0, 0, 148526, 183359, 156.60
2026/03/05 02:43:25.949, 0, 0, 0, 148526, 183359, 159.21
2026/03/05 02:43:26.978, 0, 91, 14, 148526, 183359, 383.21
2026/03/05 02:43:28.011, 0, 92, 15, 148526, 183359, 555.44
2026/03/05 02:43:29.041, 0, 36, 9, 148526, 183359, 384.76
2026/03/05 02:43:30.071, 0, 35, 10, 148526, 183359, 253.21
2026/03/05 02:43:31.099, 0, 36, 10, 148526, 183359, 253.39
2026/03/05 02:43:32.128, 0, 36, 10, 148526, 183359, 251.84
2026/03/05 02:43:33.158, 0, 36, 10, 148526, 183359, 252.73
2026/03/05 02:43:34.186, 0, 35, 10, 148526, 183359, 261.80
2026/03/05 02:43:35.217, 0, 35, 10, 148526, 183359, 257.98
2026/03/05 02:43:36.246, 0, 36, 10, 148526, 183359, 254.30
2026/03/05 02:43:37.279, 0, 36, 10, 148526, 183359, 256.72
2026/03/05 02:43:38.304, 0, 36, 10, 148526, 183359, 259.64
2026/03/05 02:43:39.334, 0, 35, 10, 148526, 183359, 257.32
2026/03/05 02:43:40.362, 0, 36, 10, 148526, 183359, 258.99
2026/03/05 02:43:41.390, 0, 36, 10, 148526, 183359, 264.84
2026/03/05 02:43:42.416, 0, 36, 11, 148526, 183359, 261.48
2026/03/05 02:43:43.447, 0, 37, 11, 148526, 183359, 260.17
2026/03/05 02:43:44.474, 0, 36, 10, 148526, 183359, 263.20
2026/03/05 02:43:45.503, 0, 37, 11, 148526, 183359, 257.67
2026/03/05 02:43:46.531, 0, 36, 11, 148526, 183359, 262.80
2026/03/05 02:43:47.562, 0, 38, 11, 148526, 183359, 258.91
2026/03/05 02:43:48.592, 0, 36, 11, 148526, 183359, 258.58
2026/03/05 02:43:49.622, 0, 36, 11, 148526, 183359, 257.85
2026/03/05 02:43:50.648, 0, 36, 11, 148526, 183359, 259.16
2026/03/05 02:43:51.678, 0, 36, 11, 148526, 183359, 267.43
2026/03/05 02:43:52.705, 0, 36, 11, 148526, 183359, 263.09
2026/03/05 02:43:53.734, 0, 37, 11, 148526, 183359, 264.55
2026/03/05 02:43:54.763, 0, 36, 11, 148526, 183359, 265.30
2026/03/05 02:43:55.792, 0, 38, 11, 148526, 183359, 266.40
2026/03/05 02:43:56.820, 0, 37, 11, 148526, 183359, 265.72
