model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-20b,1,1024,1024,32,320,0.768,786.493,1572.987,186.963,157.824,513.908,40.531,40.870,41.360,17.688,18.000,148529.053,149150.000,198.795,204.540,320,0
openai/gpt-oss-20b,1,1024,1024,64,640,1.497,1532.505,3065.010,227.479,197.802,722.190,41.560,41.196,42.715,20.268,21.000,148526.000,148526.000,211.262,215.830,640,0
openai/gpt-oss-20b,1,1024,1024,128,1280,2.826,2893.399,5786.797,280.326,235.846,1202.268,43.971,43.593,45.421,26.094,27.000,148526.000,148526.000,232.224,240.700,1280,0
openai/gpt-oss-20b,1,1024,1024,256,2560,5.676,5811.891,11623.781,377.001,255.922,2176.829,43.644,42.136,50.829,35.587,40.000,148526.000,148526.000,265.297,358.440,2560,0
openai/gpt-oss-20b,1,1024,1024,512,5120,10.710,10966.751,21933.503,593.772,356.384,4453.392,45.992,45.848,49.592,44.173,100.000,148526.016,148528.000,314.248,573.320,5120,0
