timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/05 02:25:26.568, 0, 0, 0, 148526, 183359, 156.51
2026/03/05 02:25:26.597, 0, 0, 0, 148526, 183359, 156.51
2026/03/05 02:25:27.625, 0, 0, 0, 148526, 183359, 156.48
2026/03/05 02:25:28.656, 0, 0, 0, 148526, 183359, 156.46
2026/03/05 02:25:29.685, 0, 0, 0, 148526, 183359, 156.43
2026/03/05 02:25:30.717, 0, 0, 0, 148526, 183359, 156.47
2026/03/05 02:25:31.746, 0, 0, 0, 148526, 183359, 156.44
2026/03/05 02:25:32.778, 0, 0, 0, 148526, 183359, 156.44
2026/03/05 02:25:33.806, 0, 0, 0, 148526, 183359, 156.45
2026/03/05 02:25:34.837, 0, 0, 0, 148526, 183359, 156.38
2026/03/05 02:25:35.865, 0, 0, 0, 148526, 183359, 156.41
2026/03/05 02:25:36.895, 0, 0, 0, 148526, 183359, 156.42
2026/03/05 02:25:37.922, 0, 0, 0, 148526, 183359, 156.41
2026/03/05 02:25:38.952, 0, 0, 0, 148526, 183359, 163.41
2026/03/05 02:25:39.982, 0, 19, 5, 148526, 183359, 361.67
2026/03/05 02:25:41.015, 0, 20, 5, 148526, 183359, 198.78
2026/03/05 02:25:42.043, 0, 20, 6, 148526, 183359, 199.54
2026/03/05 02:25:43.074, 0, 19, 5, 148526, 183359, 206.95
2026/03/05 02:25:44.103, 0, 20, 6, 148526, 183359, 210.13
2026/03/05 02:25:45.133, 0, 21, 6, 148526, 183359, 206.55
2026/03/05 02:25:46.161, 0, 21, 6, 148526, 183359, 209.13
2026/03/05 02:25:47.191, 0, 20, 6, 148526, 183359, 209.03
2026/03/05 02:25:48.219, 0, 21, 6, 148526, 183359, 206.30
2026/03/05 02:25:49.248, 0, 20, 6, 148526, 183359, 208.37
2026/03/05 02:25:50.276, 0, 21, 6, 148526, 183359, 206.79
2026/03/05 02:25:51.305, 0, 20, 6, 148526, 183359, 205.62
2026/03/05 02:25:52.333, 0, 21, 7, 148526, 183359, 209.54
2026/03/05 02:25:53.361, 0, 21, 7, 148526, 183359, 214.79
2026/03/05 02:25:54.392, 0, 21, 7, 148526, 183359, 210.58
2026/03/05 02:25:55.420, 0, 21, 7, 148526, 183359, 208.62
2026/03/05 02:25:56.449, 0, 20, 7, 148526, 183359, 213.90
2026/03/05 02:25:57.475, 0, 21, 7, 148526, 183359, 210.21
2026/03/05 02:25:58.503, 0, 21, 7, 148526, 183359, 210.82
2026/03/05 02:25:59.531, 0, 21, 7, 148526, 183359, 210.24
2026/03/05 02:26:00.560, 0, 21, 7, 148526, 183359, 212.83
2026/03/05 02:26:01.588, 0, 21, 7, 148526, 183359, 208.03
2026/03/05 02:26:02.617, 0, 20, 7, 148526, 183359, 212.93
2026/03/05 02:26:03.647, 0, 21, 7, 148526, 183359, 210.87
2026/03/05 02:26:04.679, 0, 21, 7, 148526, 183359, 214.23
2026/03/05 02:26:05.708, 0, 20, 7, 148526, 183359, 210.60
2026/03/05 02:26:06.738, 0, 20, 7, 148526, 183359, 214.30
2026/03/05 02:26:07.767, 0, 21, 7, 148526, 183359, 214.77
2026/03/05 02:26:08.796, 0, 21, 7, 148526, 183359, 213.64
2026/03/05 02:26:09.825, 0, 21, 7, 148526, 183359, 207.41
2026/03/05 02:26:10.855, 0, 21, 7, 148526, 183359, 213.79
2026/03/05 02:26:11.885, 0, 21, 7, 148526, 183359, 212.16
2026/03/05 02:26:12.913, 0, 20, 7, 148526, 183359, 212.59
2026/03/05 02:26:13.943, 0, 20, 7, 148526, 183359, 210.15
2026/03/05 02:26:14.971, 0, 21, 7, 148526, 183359, 211.94
2026/03/05 02:26:16.001, 0, 21, 7, 148526, 183359, 210.62
2026/03/05 02:26:17.028, 0, 21, 7, 148526, 183359, 213.28
2026/03/05 02:26:18.057, 0, 21, 7, 148526, 183359, 214.65
2026/03/05 02:26:19.084, 0, 21, 7, 148526, 183359, 216.89
2026/03/05 02:26:20.115, 0, 20, 7, 148526, 183359, 213.93
2026/03/05 02:26:21.143, 0, 80, 13, 148526, 183359, 264.70
2026/03/05 02:26:22.176, 0, 20, 5, 148526, 183359, 327.39
2026/03/05 02:26:23.207, 0, 20, 6, 148526, 183359, 202.55
2026/03/05 02:26:24.235, 0, 20, 6, 148526, 183359, 205.25
2026/03/05 02:26:25.264, 0, 19, 6, 148526, 183359, 205.21
2026/03/05 02:26:26.292, 0, 19, 6, 148526, 183359, 204.07
2026/03/05 02:26:27.323, 0, 20, 6, 148526, 183359, 205.09
2026/03/05 02:26:28.351, 0, 20, 6, 148526, 183359, 211.19
2026/03/05 02:26:29.381, 0, 20, 6, 148526, 183359, 204.43
2026/03/05 02:26:30.409, 0, 20, 6, 148526, 183359, 206.43
2026/03/05 02:26:31.439, 0, 21, 6, 148526, 183359, 208.26
