operation,bandwidth_gbps,time_ms,bytes_per_iter,total_bytes
copy,5600.607749025818,15.337504386901855,2147483648.0,85899345920.0
scale,6224.576002721277,13.800031661987305,2147483648.0,85899345920.0
add,6194.493050891921,20.800575256347656,3221225472.0,128849018880.0
triad,6184.674012388157,20.833599090576172,3221225472.0,128849018880.0
