timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/05 15:04:24.257, 0, 0, 0, 148526, 183359, 156.78
2026/03/05 15:04:24.287, 0, 0, 0, 148526, 183359, 156.78
2026/03/05 15:04:25.318, 0, 0, 0, 148526, 183359, 156.77
2026/03/05 15:04:26.348, 0, 0, 0, 148526, 183359, 156.70
2026/03/05 15:04:27.377, 0, 0, 0, 148526, 183359, 156.78
2026/03/05 15:04:28.407, 0, 0, 0, 148526, 183359, 159.45
2026/03/05 15:04:29.435, 0, 0, 0, 148526, 183359, 156.64
2026/03/05 15:04:30.466, 0, 0, 0, 148526, 183359, 156.65
2026/03/05 15:04:31.496, 0, 0, 0, 148526, 183359, 156.74
2026/03/05 15:04:32.526, 0, 0, 0, 148526, 183359, 156.70
2026/03/05 15:04:33.554, 0, 0, 0, 148526, 183359, 156.70
2026/03/05 15:04:34.586, 0, 22, 4, 148526, 183359, 184.03
2026/03/05 15:04:35.618, 0, 13, 3, 148526, 183359, 194.09
2026/03/05 15:04:36.645, 0, 19, 4, 148526, 183359, 209.00
2026/03/05 15:04:37.676, 0, 32, 6, 148526, 183359, 202.96
2026/03/05 15:04:38.707, 0, 22, 5, 148526, 183359, 214.62
2026/03/05 15:04:39.739, 0, 18, 5, 148526, 183359, 219.11
2026/03/05 15:04:40.769, 0, 26, 6, 148526, 183359, 234.96
2026/03/05 15:04:41.801, 0, 28, 6, 148526, 183359, 249.00
2026/03/05 15:04:42.830, 0, 25, 6, 148526, 183359, 228.08
2026/03/05 15:04:43.860, 0, 37, 8, 148526, 183359, 244.83
2026/03/05 15:04:44.888, 0, 30, 7, 148526, 183359, 244.44
2026/03/05 15:04:45.916, 0, 23, 7, 148526, 183359, 248.96
2026/03/05 15:04:46.942, 0, 30, 7, 148526, 183359, 239.12
2026/03/05 15:04:47.975, 0, 32, 8, 148526, 183359, 238.56
2026/03/05 15:04:49.003, 0, 25, 7, 148526, 183359, 245.01
2026/03/05 15:04:50.034, 0, 33, 8, 148526, 183359, 264.04
2026/03/05 15:04:51.063, 0, 34, 9, 148526, 183359, 253.03
2026/03/05 15:04:52.095, 0, 31, 9, 148526, 183359, 254.23
2026/03/05 15:04:53.126, 0, 39, 9, 148526, 183359, 240.34
2026/03/05 15:04:54.155, 0, 35, 9, 148526, 183359, 263.91
2026/03/05 15:04:55.186, 0, 30, 9, 148526, 183359, 249.44
2026/03/05 15:04:56.217, 0, 33, 9, 148526, 183359, 267.32
2026/03/05 15:04:57.248, 0, 36, 10, 148526, 183359, 271.69
2026/03/05 15:04:58.278, 0, 37, 10, 148526, 183359, 278.00
2026/03/05 15:04:59.309, 0, 32, 9, 148526, 183359, 276.17
2026/03/05 15:05:00.339, 0, 39, 10, 148526, 183359, 268.45
2026/03/05 15:05:01.369, 0, 35, 10, 148526, 183359, 269.39
2026/03/05 15:05:02.398, 0, 45, 11, 148526, 183359, 272.49
2026/03/05 15:05:03.431, 0, 41, 11, 148526, 183359, 288.09
2026/03/05 15:05:04.461, 0, 40, 11, 148526, 183359, 279.62
2026/03/05 15:05:05.489, 0, 36, 11, 148526, 183359, 267.13
2026/03/05 15:05:06.519, 0, 37, 11, 148526, 183359, 265.18
2026/03/05 15:05:07.546, 0, 36, 11, 148526, 183359, 262.54
2026/03/05 15:05:08.577, 0, 36, 11, 148526, 183359, 263.53
2026/03/05 15:05:09.606, 0, 37, 11, 148526, 183359, 261.69
2026/03/05 15:05:10.636, 0, 35, 10, 148526, 183359, 262.48
2026/03/05 15:05:11.664, 0, 36, 11, 148526, 183359, 259.81
2026/03/05 15:05:12.695, 0, 35, 11, 148526, 183359, 259.80
2026/03/05 15:05:13.725, 0, 36, 11, 148526, 183359, 266.31
2026/03/05 15:05:14.754, 0, 35, 10, 148526, 183359, 261.01
2026/03/05 15:05:15.784, 0, 34, 10, 148526, 183359, 263.11
2026/03/05 15:05:16.815, 0, 40, 11, 148526, 183359, 279.94
2026/03/05 15:05:17.843, 0, 41, 12, 148526, 183359, 275.10
2026/03/05 15:05:18.873, 0, 36, 11, 148526, 183359, 281.21
2026/03/05 15:05:19.901, 0, 42, 12, 148526, 183359, 276.88
2026/03/05 15:05:20.932, 0, 42, 12, 148526, 183359, 279.97
2026/03/05 15:05:21.961, 0, 44, 12, 148526, 183359, 277.08
2026/03/05 15:05:22.991, 0, 35, 11, 148526, 183359, 265.19
2026/03/05 15:05:24.019, 0, 34, 10, 148526, 183359, 259.26
2026/03/05 15:05:25.048, 0, 34, 10, 148526, 183359, 250.86
2026/03/05 15:05:26.075, 0, 34, 10, 148526, 183359, 251.99
2026/03/05 15:05:27.104, 0, 32, 10, 148526, 183359, 251.68
2026/03/05 15:05:28.131, 0, 33, 10, 148526, 183359, 259.01
2026/03/05 15:05:29.160, 0, 31, 10, 148526, 183359, 250.95
2026/03/05 15:05:30.188, 0, 31, 10, 148526, 183359, 244.25
2026/03/05 15:05:31.216, 0, 30, 9, 148526, 183359, 247.32
2026/03/05 15:05:32.243, 0, 30, 9, 148526, 183359, 241.37
2026/03/05 15:05:33.273, 0, 30, 9, 148526, 183359, 242.14
2026/03/05 15:05:34.302, 0, 30, 9, 148526, 183359, 237.45
2026/03/05 15:05:35.332, 0, 30, 9, 148526, 183359, 233.87
2026/03/05 15:05:36.361, 0, 29, 9, 148526, 183359, 233.49
2026/03/05 15:05:37.392, 0, 28, 9, 148526, 183359, 231.77
2026/03/05 15:05:38.420, 0, 25, 8, 148526, 183359, 234.28
2026/03/05 15:05:39.449, 0, 24, 7, 148526, 183359, 221.72
2026/03/05 15:05:40.476, 0, 24, 7, 148526, 183359, 218.54
2026/03/05 15:05:41.505, 0, 21, 7, 148526, 183359, 220.44
2026/03/05 15:05:42.531, 0, 21, 7, 148526, 183359, 208.27
2026/03/05 15:05:43.561, 0, 21, 7, 148526, 183359, 208.49
2026/03/05 15:05:44.589, 0, 21, 7, 148526, 183359, 210.73
2026/03/05 15:05:45.618, 0, 20, 6, 148526, 183359, 207.31
2026/03/05 15:05:46.645, 0, 19, 6, 148526, 183359, 208.24
2026/03/05 15:05:47.679, 0, 18, 6, 148526, 183359, 205.47
2026/03/05 15:05:48.708, 0, 18, 6, 148526, 183359, 200.94
2026/03/05 15:05:49.737, 0, 19, 6, 148526, 183359, 201.03
2026/03/05 15:05:50.764, 0, 18, 6, 148526, 183359, 208.21
2026/03/05 15:05:51.794, 0, 18, 6, 148526, 183359, 199.00
2026/03/05 15:05:52.823, 0, 18, 6, 148526, 183359, 201.36
2026/03/05 15:05:53.852, 0, 19, 6, 148526, 183359, 203.25
2026/03/05 15:05:54.879, 0, 18, 6, 148526, 183359, 202.44
2026/03/05 15:05:55.907, 0, 19, 6, 148526, 183359, 206.24
2026/03/05 15:05:56.934, 0, 19, 6, 148526, 183359, 205.49
2026/03/05 15:05:57.964, 0, 18, 6, 148526, 183359, 210.92
2026/03/05 15:05:58.992, 0, 18, 6, 148526, 183359, 202.41
2026/03/05 15:06:00.024, 0, 17, 6, 148526, 183359, 201.88
2026/03/05 15:06:01.052, 0, 17, 5, 148526, 183359, 199.81
2026/03/05 15:06:02.079, 0, 16, 5, 148526, 183359, 191.63
2026/03/05 15:06:03.108, 0, 14, 4, 148526, 183359, 193.04
