model,tp,isl,osl,request_rate,max_concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,gpu_power_mean_w,gpu_power_p95_w,completed,failed
openai/gpt-oss-20b,1,1024,1024,1.000000,256,300,0.878060,899.133342,1798.266683,114.222849,114.749473,136.486491,41.228487,41.417392,42.330522,17.017442,23.000000,148526.000000,148526.000000,200.128430,215.240000,300,0
openai/gpt-oss-20b,1,1024,1024,2.000000,256,300,1.567676,1605.299763,3210.599526,114.726420,114.251517,138.319095,41.120031,41.234334,41.389025,20.654822,31.000000,148526.000000,148526.000000,211.218883,232.010000,300,0
openai/gpt-oss-20b,1,1024,1024,4.000000,256,300,2.586571,2648.648460,5297.296921,121.499390,122.056919,144.558847,39.307747,39.354463,40.702472,24.258065,38.000000,148526.000000,148526.000000,224.210081,265.510000,300,0
openai/gpt-oss-20b,1,1024,1024,8.000000,256,300,3.312715,3392.220362,6784.440725,122.139929,122.850062,147.949619,41.178497,41.067891,41.632735,25.494949,41.000000,148526.000000,148526.000000,229.648485,279.620000,300,0
openai/gpt-oss-20b,1,1024,1024,16.000000,256,300,3.445355,3528.043754,7056.087509,124.801082,125.035294,160.785827,40.960028,40.964999,41.078843,25.364583,40.000000,148526.000000,148526.000000,231.610729,295.350000,300,0
